matelda_index,col
5,sched_arr_time
31,sched_arr_time
32,sched_arr_time
50,sched_arr_time
52,sched_arr_time
53,sched_arr_time
54,sched_arr_time
55,sched_arr_time
56,sched_arr_time
58,sched_arr_time
59,sched_arr_time
60,sched_arr_time
61,sched_arr_time
63,sched_arr_time
66,sched_arr_time
67,sched_arr_time
68,sched_arr_time
69,sched_arr_time
70,sched_arr_time
73,sched_arr_time
74,sched_arr_time
76,sched_arr_time
77,sched_arr_time
80,sched_arr_time
81,sched_arr_time
82,sched_arr_time
83,sched_arr_time
84,sched_arr_time
85,sched_arr_time
86,sched_arr_time
89,sched_arr_time
90,sched_arr_time
92,sched_arr_time
93,sched_arr_time
94,sched_arr_time
95,sched_arr_time
96,sched_arr_time
97,sched_arr_time
99,sched_arr_time
100,sched_arr_time
101,sched_arr_time
102,sched_arr_time
103,sched_arr_time
104,sched_arr_time
105,sched_arr_time
107,sched_arr_time
108,sched_arr_time
109,sched_arr_time
110,sched_arr_time
112,sched_arr_time
113,sched_arr_time
114,sched_arr_time
115,sched_arr_time
116,sched_arr_time
117,sched_arr_time
118,sched_arr_time
119,sched_arr_time
121,sched_arr_time
122,sched_arr_time
123,sched_arr_time
124,sched_arr_time
125,sched_arr_time
126,sched_arr_time
127,sched_arr_time
130,sched_arr_time
131,sched_arr_time
132,sched_arr_time
133,sched_arr_time
134,sched_arr_time
136,sched_arr_time
137,sched_arr_time
138,sched_arr_time
139,sched_arr_time
140,sched_arr_time
141,sched_arr_time
143,sched_arr_time
144,sched_arr_time
145,sched_arr_time
147,sched_arr_time
148,sched_arr_time
149,sched_arr_time
151,sched_arr_time
154,sched_arr_time
158,sched_arr_time
159,sched_arr_time
160,sched_arr_time
161,sched_arr_time
162,sched_arr_time
164,sched_arr_time
165,sched_arr_time
167,sched_arr_time
170,sched_arr_time
171,sched_arr_time
172,sched_arr_time
173,sched_arr_time
175,sched_arr_time
178,sched_arr_time
179,sched_arr_time
182,sched_arr_time
183,sched_arr_time
184,sched_arr_time
187,sched_arr_time
188,sched_arr_time
191,sched_arr_time
195,sched_arr_time
196,sched_arr_time
200,sched_arr_time
202,sched_arr_time
204,sched_arr_time
205,sched_arr_time
209,sched_arr_time
210,sched_arr_time
211,sched_arr_time
212,sched_arr_time
216,sched_arr_time
218,sched_arr_time
219,sched_arr_time
220,sched_arr_time
222,sched_arr_time
223,sched_arr_time
224,sched_arr_time
225,sched_arr_time
226,sched_arr_time
227,sched_arr_time
233,sched_arr_time
235,sched_arr_time
238,sched_arr_time
242,sched_arr_time
337,sched_arr_time
339,sched_arr_time
340,sched_arr_time
341,sched_arr_time
342,sched_arr_time
343,sched_arr_time
345,sched_arr_time
346,sched_arr_time
347,sched_arr_time
348,sched_arr_time
350,sched_arr_time
353,sched_arr_time
354,sched_arr_time
355,sched_arr_time
356,sched_arr_time
357,sched_arr_time
360,sched_arr_time
361,sched_arr_time
363,sched_arr_time
364,sched_arr_time
367,sched_arr_time
368,sched_arr_time
369,sched_arr_time
370,sched_arr_time
371,sched_arr_time
372,sched_arr_time
373,sched_arr_time
376,sched_arr_time
377,sched_arr_time
379,sched_arr_time
380,sched_arr_time
381,sched_arr_time
382,sched_arr_time
383,sched_arr_time
384,sched_arr_time
386,sched_arr_time
387,sched_arr_time
388,sched_arr_time
389,sched_arr_time
390,sched_arr_time
391,sched_arr_time
392,sched_arr_time
394,sched_arr_time
395,sched_arr_time
396,sched_arr_time
397,sched_arr_time
399,sched_arr_time
400,sched_arr_time
401,sched_arr_time
402,sched_arr_time
403,sched_arr_time
404,sched_arr_time
405,sched_arr_time
406,sched_arr_time
408,sched_arr_time
409,sched_arr_time
410,sched_arr_time
411,sched_arr_time
412,sched_arr_time
413,sched_arr_time
414,sched_arr_time
417,sched_arr_time
418,sched_arr_time
419,sched_arr_time
420,sched_arr_time
421,sched_arr_time
423,sched_arr_time
424,sched_arr_time
425,sched_arr_time
426,sched_arr_time
427,sched_arr_time
428,sched_arr_time
430,sched_arr_time
431,sched_arr_time
432,sched_arr_time
434,sched_arr_time
435,sched_arr_time
436,sched_arr_time
438,sched_arr_time
441,sched_arr_time
445,sched_arr_time
446,sched_arr_time
447,sched_arr_time
448,sched_arr_time
449,sched_arr_time
451,sched_arr_time
452,sched_arr_time
454,sched_arr_time
457,sched_arr_time
458,sched_arr_time
459,sched_arr_time
460,sched_arr_time
462,sched_arr_time
465,sched_arr_time
466,sched_arr_time
469,sched_arr_time
470,sched_arr_time
471,sched_arr_time
474,sched_arr_time
475,sched_arr_time
477,sched_arr_time
478,sched_arr_time
482,sched_arr_time
483,sched_arr_time
487,sched_arr_time
489,sched_arr_time
491,sched_arr_time
492,sched_arr_time
496,sched_arr_time
497,sched_arr_time
498,sched_arr_time
499,sched_arr_time
503,sched_arr_time
505,sched_arr_time
506,sched_arr_time
507,sched_arr_time
509,sched_arr_time
510,sched_arr_time
511,sched_arr_time
512,sched_arr_time
513,sched_arr_time
514,sched_arr_time
520,sched_arr_time
522,sched_arr_time
525,sched_arr_time
529,sched_arr_time
630,sched_arr_time
633,sched_arr_time
637,sched_arr_time
638,sched_arr_time
639,sched_arr_time
640,sched_arr_time
641,sched_arr_time
643,sched_arr_time
644,sched_arr_time
646,sched_arr_time
649,sched_arr_time
650,sched_arr_time
651,sched_arr_time
652,sched_arr_time
654,sched_arr_time
657,sched_arr_time
658,sched_arr_time
661,sched_arr_time
662,sched_arr_time
663,sched_arr_time
666,sched_arr_time
667,sched_arr_time
669,sched_arr_time
670,sched_arr_time
674,sched_arr_time
675,sched_arr_time
679,sched_arr_time
681,sched_arr_time
683,sched_arr_time
684,sched_arr_time
688,sched_arr_time
689,sched_arr_time
690,sched_arr_time
691,sched_arr_time
695,sched_arr_time
697,sched_arr_time
698,sched_arr_time
699,sched_arr_time
701,sched_arr_time
702,sched_arr_time
703,sched_arr_time
704,sched_arr_time
705,sched_arr_time
706,sched_arr_time
712,sched_arr_time
714,sched_arr_time
717,sched_arr_time
721,sched_arr_time
729,sched_arr_time
730,sched_arr_time
731,sched_arr_time
732,sched_arr_time
733,sched_arr_time
735,sched_arr_time
736,sched_arr_time
737,sched_arr_time
738,sched_arr_time
739,sched_arr_time
740,sched_arr_time
741,sched_arr_time
742,sched_arr_time
743,sched_arr_time
744,sched_arr_time
745,sched_arr_time
746,sched_arr_time
747,sched_arr_time
748,sched_arr_time
749,sched_arr_time
750,sched_arr_time
751,sched_arr_time
752,sched_arr_time
753,sched_arr_time
754,sched_arr_time
755,sched_arr_time
757,sched_arr_time
758,sched_arr_time
759,sched_arr_time
760,sched_arr_time
761,sched_arr_time
762,sched_arr_time
763,sched_arr_time
764,sched_arr_time
765,sched_arr_time
766,sched_arr_time
767,sched_arr_time
768,sched_arr_time
769,sched_arr_time
770,sched_arr_time
771,sched_arr_time
772,sched_arr_time
774,sched_arr_time
775,sched_arr_time
776,sched_arr_time
778,sched_arr_time
780,sched_arr_time
781,sched_arr_time
782,sched_arr_time
783,sched_arr_time
784,sched_arr_time
785,sched_arr_time
786,sched_arr_time
787,sched_arr_time
788,sched_arr_time
789,sched_arr_time
790,sched_arr_time
791,sched_arr_time
792,sched_arr_time
793,sched_arr_time
794,sched_arr_time
795,sched_arr_time
796,sched_arr_time
797,sched_arr_time
798,sched_arr_time
799,sched_arr_time
800,sched_arr_time
801,sched_arr_time
802,sched_arr_time
808,sched_arr_time
812,sched_arr_time
815,sched_arr_time
819,sched_arr_time
